,0.1,0.1090909090909091,0.1181818181818182,0.1272727272727273,0.13636363636363635,0.14545454545454545,0.15454545454545454,0.16363636363636364,0.17272727272727273,0.18181818181818182,0.19090909090909092,0.2,0.2090909090909091,0.2181818181818182,0.22727272727272727,0.23636363636363636,0.24545454545454545,0.2545454545454545,0.26363636363636367,0.2727272727272727,0.28181818181818186,0.2909090909090909,0.3,0.3090909090909091,0.3181818181818182,0.32727272727272727,0.33636363636363636,0.34545454545454546,0.3545454545454545,0.36363636363636365,0.3727272727272727,0.38181818181818183,0.3909090909090909,0.4,0.40909090909090906,0.4181818181818182,0.42727272727272725,0.4363636363636364,0.44545454545454544,0.4545454545454546,0.4636363636363636,0.47272727272727266,0.4818181818181818,0.49090909090909085,0.5,0.509090909090909,0.5181818181818182,0.5272727272727272,0.5363636363636364,0.5454545454545454,0.5545454545454546,0.5636363636363636,0.5727272727272728,0.5818181818181818,0.5909090909090909,0.6,0.609090909090909,0.6181818181818182,0.6272727272727272,0.6363636363636364,0.6454545454545454,0.6545454545454545,0.6636363636363636,0.6727272727272727,0.6818181818181818,0.6909090909090908,0.7,0.709090909090909,0.7181818181818181,0.7272727272727272,0.7363636363636363,0.7454545454545454,0.7545454545454545,0.7636363636363636,0.7727272727272727,0.7818181818181817,0.7909090909090909,0.7999999999999999,0.8090909090909091,0.8181818181818181,0.8272727272727273,0.8363636363636363,0.8454545454545453,0.8545454545454545,0.8636363636363635,0.8727272727272727,0.8818181818181817,0.8909090909090909,0.8999999999999999,0.9090909090909091,0.9181818181818181,0.9272727272727272,0.9363636363636363,0.9454545454545454,0.9545454545454545,0.9636363636363636,0.9727272727272727,0.9818181818181817,0.9909090909090909,1.0
H,14909681023860.846,15213717193345.0,17816192717976.766,19178218575456.49,20356754206157.742,22161206269586.13,23010246470778.395,22744992464696.64,6296312801482.605,25602281265009.97,27686219357654.3,28628366390494.68,29789309854769.926,30596556781723.27,31359811025311.12,34026885426637.246,36067673522084.83,35559856003554.23,37755046557673.14,37981394720906.94,41133050137285.555,40389256246473.53,42709144255593.77,44440999248706.97,45248680247953.125,46954119108036.664,48673156390254.375,49398318996922.2,50049242796545.82,49936196532568.62,54113756498687.234,54833385166595.305,56583289749855.56,57254391914470.06,58467452098293.98,59672506930821.59,60266225655930.414,62076653351502.305,61209877934718.734,63126491414065.28,64295459460445.65,65456616217992.12,66604504891521.805,69175012103396.57,68920909651232.41,70829908351302.73,71986348113453.25,70583543749990.52,74290579124883.95,76157650014489.3,75761639637773.39,76886196948536.72,79588596891160.6,79970835617101.0,81863721793394.61,80457168000156.94,83336182421692.2,83587041332549.9,86374521624022.83,86680746470958.17,87779909958025.98,88895065381911.3,89079811316752.6,89176180603342.86,91253510839326.25,92334348041500.75,94323994867030.92,95392696260973.52,96476632077775.42,96609190310991.9,98633912666894.6,98722017144425.88,100753346100129.86,102701625117102.44,102866629525315.45,103917025821329.72,101679323803595.36,102685852802681.38,106056779741557.69,108108008310497.31,106991289474312.55,106764156241596.7,109027470176999.03,112241787099254.28,111069364765926.23,110810698566959.16,114265312979459.19,114102300988596.25,116273551756397.56,116124306420282.78,115779551567587.58,116764252597029.14,120296798006299.86,121297669049910.56,121086633625248.61,123315534267356.92,123092872099350.67,125247676781705.97,126236188496061.45,127263727117050.98
H+,4751509259.983001,5169072281.70868,6418801734.356922,7272477060.048202,8065885403.112316,9210177153.814754,9909162297.771729,10104993588.48815,3317178218.024471,12113033757.942457,13565235881.330479,14312034256.781527,15219216605.141912,16059608851.55654,16877343855.401176,18802256337.646137,20139343349.784657,20371784645.291645,21940925038.534084,22532638746.026775,24919709681.093018,24810610906.097885,26543596626.01646,28143653635.00371,29232723446.979435,30733247521.530178,32154451194.78088,33226484968.25555,34097678264.99011,34416248684.73876,37939699264.83516,38960811210.0172,40746639902.678314,41693005634.20646,43109674022.21316,44479378901.5321,45550176362.874535,47513540125.87412,47319943009.84681,49472378523.25226,50883979412.1526,52328551609.86811,54030818217.143776,56768755799.093094,57127145349.44055,59556816695.71537,61214859313.03725,60623970151.788445,64622800681.551994,66780667250.24163,67433895324.71674,69057330877.02231,72599965621.2922,73827986123.86053,76503363194.37332,76080730814.93254,79664979324.97261,81143893522.89786,84898626324.77103,86171586739.46501,88418745284.95316,90739906828.4879,92050850472.11502,93549984531.67113,96995677154.11568,99220153879.19847,102987862339.7642,105452537252.6938,108312251999.00687,110161190243.38687,113826643467.80263,116167001500.3186,119796882209.57014,124491672036.91438,127003489233.68927,130155287497.08194,129454223642.02226,132995078331.41956,140032924847.3962,145148193265.45544,146749309878.97064,148611820297.53754,155120208963.62125,162682999326.42065,164458233853.87094,167558312064.3659,176344855983.98712,180098287524.00128,188284906777.75662,192431979819.02243,196329185138.2223,203244965149.71295,214873032697.86188,222756799870.58795,229031468770.39056,239802402217.18008,246574208137.49445,257891113386.62003,266422928298.83273,271569516828.4616
H2,314339075508136.06,314174064896689.5,312859819013572.06,312167415657379.7,311567947778444.8,310654363096516.0,310221087196099.8,310345131819964.2,318552429353551.44,308900028989601.75,307849214220849.9,307371858314713.7,306784984635955.0,306373620312565.75,305984705996558.3,304643996634813.6,303619971002993.06,303865702634852.4,302763357039422.94,302643304569602.9,301062178954934.25,301428068173554.44,300264097900944.2,299392246759165.94,298982195253744.4,298124751966439.06,297261717191166.0,296892786003913.25,296562038295555.94,296613439636725.44,294520598935404.7,294155561882979.3,293275788069537.7,292935640422939.0,292324454625683.6,291717296822373.25,291414850199366.25,290505269846193.25,290932950730470.44,289969984286948.6,289381298720979.5,288796904713495.6,288216812506212.6,286928059327901.44,287049577335152.4,286090033444758.94,285507218134871.1,286202653345311.0,284345740690979.6,283409029412281.94,283599859064148.06,283033742996390.44,281677015616789.25,281480326018513.0,280529138441577.2,281225479969481.3,279782792859071.94,279649781445599.7,278252208723658.9,278093581859748.62,277538019129747.2,276974620862387.84,276876165513819.56,276820556873018.25,275776827275421.56,275231525324039.44,274230580404228.6,273690887843153.75,273142111450477.75,273068112915423.2,272051334120957.78,271997493454620.2,270978315207304.84,269996142367969.44,269904509383012.9,269372993578013.8,270481380697577.34,269970240316431.06,268278071466484.62,267246004305304.0,267792009632811.5,267897986782749.3,266757219354601.03,265143680599456.12,265717453838592.4,265835651948690.75,264101453979715.22,264170881748500.9,263073662430353.03,263135961242950.16,263295895970963.47,262790248472414.53,261013586138603.8,260498624252802.5,260586799232576.3,259458545348737.12,259551649424097.0,258459263844486.12,257949542185120.66,257429095460171.34
H2+,204358539.40338585,223047580.42322934,249647993.18773285,278211314.23188484,300897982.46072984,335613527.7528089,361083751.6272982,385424617.0527328,365696600.88084114,454063091.1756828,495812010.4978793,527904476.23118985,574824122.4422673,623400960.1366524,651233235.9633435,720580239.7773348,780696702.4808378,830589990.7175326,911292609.7948065,976323517.020673,1042104433.7248309,1112627135.682162,1209782146.2463555,1311435234.0992663,1364509064.8547773,1477662401.8656936,1582864287.3118362,1715088409.9521558,1849325462.403807,1962012357.8215592,2129472865.5401382,2279250407.4167027,2451598642.1886253,2628747983.9911966,2810175778.7865777,3032903750.652142,3240051602.3064904,3475864248.614595,3688007193.5457373,3915791245.4829407,4240387090.441832,4488081040.430678,4854348157.539635,5216361991.972719,5603800617.074903,5991200140.089772,6408115871.612789,6780189726.758338,7333013170.19445,7859495252.063856,8390552906.590302,8939104330.179003,9713992714.114544,10346472406.388594,11112423986.972342,11804960093.294245,12665169855.283764,13496675452.461233,14575141594.402859,15495667546.41366,16468222673.950455,17634312378.57966,18767343745.756382,20157983820.20667,21585260365.51156,23080539196.609783,24698127302.167927,26368928353.66744,28185956337.880894,30225390640.130733,32288079813.432274,34546054718.70125,36949771716.43258,39537536698.17518,42594555304.150696,45546292460.923805,48409469430.13292,51864192336.35655,55918516099.2369,59932386772.40864,64112154048.34136,68338294640.892586,73662954667.11172,78761781456.39136,84444265881.41753,90643392284.42496,97450467390.82071,104740127166.72356,113099130066.71579,121191872739.38922,130399734818.17377,140755558379.97733,151394904414.49133,163191543874.1178,176640547669.07483,189977249977.56396,204839396358.20575,220253464594.27896,233966984465.10904,240362857453.3643
H3+,176463662115.4149,184973699550.4801,193211469992.10883,200501487637.8669,207021936134.20328,214189795330.17545,219777020012.9908,225417101790.14166,239054390937.594,235674282888.09692,241059531187.20587,244977463228.90656,248911753762.69437,253759811730.4651,258326808020.96295,262420379912.1136,264355662664.09528,269696338310.7797,272286368680.29593,276631368975.0717,279323762371.80536,283318264686.0284,285360011472.4601,288707987225.3034,292450251933.1677,295023879859.3319,296824100154.0659,300611862093.73285,303755845323.52203,306989057799.3683,308410079441.8393,311451669413.08844,313955842233.3213,316586663622.5809,319097292525.6683,321579163615.7002,324808972862.53156,326908313435.382,330635966587.1676,332873101280.4219,334987198940.1181,336884298047.9489,340171278112.9054,341350337945.1717,344661394899.0831,346956265007.1606,349189259522.10474,353116154200.0393,353677972984.26874,354724918670.1395,358936828536.8505,360588257321.01215,362575725676.4407,365458222584.7914,367218788366.8891,371521554232.29694,371873264648.7958,375880594880.296,376465090654.5877,379103380176.76276,381693281554.91534,384022538181.7953,386885123487.54865,390407650422.19446,391683888254.5103,393201110321.9966,394947820128.5986,396573637192.3112,398948036470.7806,402118379818.696,402466513637.72894,406706696071.3405,406236770812.00806,408302218114.4679,411514120544.9095,412707467680.573,418008297188.5508,419775451423.4527,419196873748.4134,419117788300.7974,424033631635.6003,425655012047.7826,426009416106.355,424342797470.76697,428254681363.4204,430511897281.3896,427638841054.24634,429580075120.8204,429007822934.39813,430446207112.37665,431303696176.3128,430959209683.37683,426916709261.22534,426108603227.8701,426612866102.74274,423333795271.51184,423319768139.81055,419260246521.53375,417584496428.72516,416056661229.70605
ne,181419529914.80127,190365819412.612,199879919719.65347,208052176012.147,215388719519.77634,223735586011.743,230047266062.38983,235907519995.68256,242737265756.4993,248241379737.21506,255120579079.03424,259817401961.91928,264705794490.27853,270442821542.15826,275855385112.32745,281943216489.53705,285275702716.3608,290898712946.7889,295138586328.6248,300140331238.11914,305285576486.6232,309241502727.8084,313113390244.7229,318163076094.4064,323047484445.00195,327234789782.7278,330561415636.1586,335553435471.94055,339702849050.91595,343367318841.9286,348479251572.2146,352691731030.52234,357154080778.18823,360908417240.7785,365017142326.668,369091446267.88446,373599200827.7126,377897717809.8707,381643916790.5602,386261271049.1571,390111565442.7125,393700930698.2477,399056444487.5888,403335455736.2375,407392340865.5986,412504281842.9657,416812234706.75476,420520314078.58606,425633786836.0152,429365081172.445,434761276768.1576,438584692528.21344,444889684011.8474,449632681115.0405,454834575548.23474,459407245140.52374,464203413829.0521,470521163855.6551,475938858573.7616,480770634462.6414,486580249513.819,492396757388.86285,497703317705.42004,504115618774.07227,510264825774.1376,515501803397.8048,522633809770.5307,528395102798.6725,535446244807.66833,542504960702.2136,548581236918.96387,557419752290.3604,562983424738.0107,572331426849.5575,581112165082.7495,588409047638.5787,595871990260.7059,604634722091.2288,615148314695.0465,624198368338.6615,634895095562.9124,642605126986.2126,654792579737.0879,665787578253.579,677157181098.7089,688713601630.1804,701434164429.0542,714418489811.5452,730391859778.8706,744070059670.7883,758032616132.7089,774959733213.0671,793184646373.5786,812056946972.5759,832284882542.2081,853113447466.2559,874733372635.5107,897404824502.4327,917974409192.667,927989035511.532
Te,0.118545329513078,0.12040631849006316,0.12269811814777133,0.12461781706923683,0.12672942639546497,0.12908576760644022,0.13109499912802092,0.1337847217829726,0.1366524851193979,0.13856127455044842,0.14062159725397338,0.14385366285158002,0.14659927155253336,0.1487071280703944,0.1517183042664932,0.1541196263737233,0.15724051045790208,0.16052054697130982,0.1637343497168746,0.16676311106750044,0.16859180820400488,0.17316979864478788,0.1770633621729877,0.18037255585893633,0.18273544708275924,0.1872109283534134,0.19165485377430477,0.19523530764277594,0.1996584505399748,0.2038176011374083,0.20783172388157667,0.2123785668151057,0.21725328893981605,0.221557642140393,0.22661619308303785,0.23262489224864935,0.23786411237603095,0.24299086842309622,0.24985682018155103,0.25523729236650194,0.2623642914429167,0.2674018654161908,0.27499272978215555,0.2807738234406063,0.2900880455723706,0.2957815914821101,0.303317336721293,0.3122239534127939,0.3203658165627977,0.33023707206366687,0.33783879088971086,0.34795727558088957,0.3578127034852798,0.3688025637609593,0.37903194162006515,0.39114553155935594,0.4030520466366222,0.41599201691401705,0.42771527739763726,0.44153674405482385,0.4548574064902863,0.47027008231333406,0.48596145160584914,0.5037967039323147,0.521748409494012,0.5430444711402507,0.5591498123114608,0.5788029991151804,0.6031358750329079,0.6277933032694104,0.6513501635946642,0.6746847648030365,0.7060745976044136,0.7326301069061377,0.7652064585468702,0.798372594621037,0.8345141142041342,0.8737056610926499,0.9126372788026809,0.9610886163610707,1.0046751501441167,1.0599947123214057,1.1156408613869968,1.185732922313342,1.2444004808009363,1.3192777488208622,1.4022768381456205,1.495861533039402,1.581919375851494,1.6961510473719725,1.8195747332718677,1.9614884670150645,2.1202287644404847,2.3227155959524657,2.5372276221709846,2.8183765538167336,3.1687457239212518,3.607608473937747,4.277002691488525,5.339563271708723
