,5,7,10,15,20
H,738890435794.0175,1053205015494.6842,1453454299048.25,1977909732560.6226,2429080447649.0425
H+,342299325.29951483,507703894.8040589,725344712.7993759,1022007069.0309895,1263115172.497546
H2,160658929322873.3,224913686304972.66,321331508219063.75,482099302847402.4,642903826452896.9
H2+,894590536.5512996,724244374.8251611,514455434.7364768,286076828.75386614,161506706.90022236
H3+,770354823.3103769,1044819629.3983312,1386086686.642585,1821763711.6531215,2149007868.9390407
ne,2007244685.1611912,2276767899.027551,2625886834.1784377,3129847609.437977,3573629748.336809
Te,4.348062459929367e-05,5.039682880074907e-05,6.016728862352705e-05,7.58825539483626e-05,9.239283467165973e-05
