,5,7,10,15,20
H,12926421996816.223,18563151055120.46,25379625817898.152,35001234014074.223,42397483544204.16
H+,1375453415.061134,2077625840.6661928,2938216179.860645,4150009023.644795,5060782758.771879
H2,154549823996098.44,216140902442338.25,309347806844682.3,465563223727054.5,622891790096052.6
H2+,15452726944.832108,16974590852.032679,18196432452.03404,19037863630.431786,19264671574.605087
H3+,946910030.3934085,1561843210.3177216,2604221490.439645,4555891586.3685465,6704214472.854273
ne,17775090390.28665,20614059903.016594,23738870122.334328,27743764240.445126,31029668806.23124
Te,0.0041326003888914435,0.0048046102588801005,0.0057766312095962075,0.007348806722480468,0.008858375483719668
