,1000.0,1500.0,2000.0,2500.0,3000.0,4000.0
H,1413066028520.8389,1984998399223.744,2486287303308.155,2930920420124.2666,3329369474102.6934,4019045520445.635
H+,564241504.8882797,1186668017.828278,2004697366.387216,3009000837.693323,4188284337.5565524,7019196892.197569
H2,224734737388043.47,224448847263287.5,224198169570341.38,223975626689030.34,223775965310919.16,223429795561208.5
H2+,1.1562232391902896e-11,2.9487131765215103e-13,1.6782424698306088e-12,1.2398483812427388e-13,-9.412877952436465e-15,5.415684541704773e-10
H3+,854410286.6558398,596227718.6857239,345711871.78340054,161825983.33301553,59965564.694479786,4145739.264897502
ne,1418651791.5441194,1782895736.5140018,2350409238.1706166,3170826821.0263386,4248249902.2510324,7023342631.462466
Te,6.0505804327076206e-05,5.821124333452091e-05,5.541712850641606e-05,5.281857643366141e-05,5.074658957621456e-05,4.8187690368869634e-05
