,500.0,1000.0,1500.0,2000.0,2500.0,3000.0,4000.0
H,31250053725319.207,59812942730546.37,86065754159145.55,110265074982500.92,132733416274318.31,153635993458231.47,191268205374755.94
H+,16555567945.361168,62783645009.5976,134394489927.30061,227909314142.4426,340722402574.7419,470585083166.934,773738278365.9731
H2,306226608163379.5,291764482539245.9,278477862817050.06,266233003140552.5,254864941964606.3,244288182642411.16,225238721513986.47
H2+,199687298527.51367,356214618749.8202,479953706067.18054,577982276031.2771,655235144541.4921,715673221382.7322,797498380807.7922
H3+,1061011913.1270571,1754187090.2183392,2200519170.2184486,2476041002.366587,2630119209.77236,2697661277.2684774,2666603369.189531
ne,217303878386.0019,420752450849.6361,616548715164.6997,808367631176.0863,998587666326.0062,1188955965826.9348,1573903262542.9548
Te,5.532344432185028,5.579071945345179,5.6226461491141695,5.654312045830265,5.622249982936831,5.655727599475257,5.6168052656885745
