,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7000000000000001,0.8,0.9,1.0
H,4478177260551.692,9314524890932.904,14430660053895.814,19813519539537.688,25379625817898.152,31682448533915.723,37968573967658.07,44523331701424.81,52012402738989.09,59812942730546.37
H+,387580463.64298767,884142602.6869746,1451295753.6784298,2115906768.112312,2938216179.860645,4088033435.6446342,5713858284.551542,8474933937.075428,14954447451.460215,62783645009.5976
H2,319808703977545.8,317389030316160.2,314828974870275.2,312134829880049.6,309347806844682.3,306190227860281.06,303036419337562.2,299736345967089.44,295938962746624.4,291764482539245.9
H2+,9238057823.722113,10522498475.274145,12253758053.063408,14650527379.131256,18196432452.03404,23770638879.349957,33665002049.36586,54950433589.08044,104798631303.0886,356214618749.8202
H3+,2644780354.5441437,2622863337.176853,2604882170.65492,2595663884.9136057,2604221490.439645,2616562381.924264,2642249217.4158983,2661272033.021528,2501103507.510443,1754187090.2183392
ne,12270418641.909245,14029504415.137974,16309935977.396759,19362098032.157173,23738870122.334328,30475234696.918854,42021109551.333305,66086639559.1774,122254182262.05925,420752450849.6361
Te,0.0018746142480992939,0.0023514714968116022,0.0030431157767327674,0.004087744743163635,0.0057766312095962075,0.00878625729057976,0.014891524502543002,0.030385922138590517,0.09680371443790071,5.579071945345179
