,1000.0,1500.0,2000.0,2500.0,3000.0,4000.0
H,1412886793041.904,1984918009804.4402,2486644151515.954,2930722409549.1587,3329279213079.792,4017685702293.0063
H+,564744766.4010416,1186586321.4287026,2004368168.7732658,3007528215.9640756,4187440561.3681006,7020896194.470349
H2,224734825771026.25,224448887524406.5,224197991215734.9,223975726195723.38,223776010850438.22,223430474748095.34
H2+,8.228894782923856e-14,6.051349068230828e-13,3.816974917882429e-12,1.258416619093511e-13,-4.163044704254805e-14,5.354672974354847e-16
H3+,855065703.9457289,596210677.9094952,345775272.70198536,161982586.91094923,59974151.67834759,4060764.8245907486
ne,1419810470.3467705,1782796999.3381977,2350143441.475251,3169510802.875025,4247414713.046448,7024956959.29494
Te,6.0587664971834284e-05,5.8206588677503e-05,5.541488505760438e-05,5.281910601825533e-05,5.073364410956335e-05,4.819596576428464e-05
