,5,7,10,15,20
H,1014549749233.4431,1412886793041.904,1910796369722.8928,2547862821244.852,3017688819268.6357
H+,404207633.35899025,564744766.4010416,751782986.5454904,969428716.268629,1110946674.3098373
H2,160521839591157.56,224734825771026.25,321104120551462.75,481816016566797.1,642611549235420.9
H2+,-6.239861641112647e-12,8.228894782923856e-14,-3.622699704830167e-13,4.845195036102849e-15,-2.093610551280047e-15
H3+,852829075.6878101,855065703.9457289,864665727.6936439,903165223.8329226,956089617.1419452
ne,1257036709.0468004,1419810470.3467705,1616448714.2391343,1872593940.1015515,2067036291.4517827
Te,5.237738649421963e-05,6.0587664971834284e-05,7.23445309192979e-05,9.20339132653152e-05,0.00011168720073445109
