0.01,1.60E-14
0.011,1.53E-14
0.012,1.46E-14
0.013,1.41E-14
0.014,1.36E-14
0.015,1.32E-14
0.016,1.28E-14
0.017,1.24E-14
0.018,1.21E-14
0.019,1.18E-14
0.02,1.15E-14
0.021,1.12E-14
0.022,1.10E-14
0.023,1.07E-14
0.024,1.05E-14
0.025,1.03E-14
0.026,1.01E-14
0.027,9.95E-15
0.028,9.78E-15
0.029,9.61E-15
0.03,9.46E-15
0.031,9.31E-15
0.032,9.17E-15
0.033,9.04E-15
0.034,8.91E-15
0.035,8.79E-15
0.036,8.67E-15
0.037,8.56E-15
0.038,8.45E-15
0.039,8.35E-15
0.04,8.25E-15
0.041,8.15E-15
0.042,8.06E-15
0.043,7.97E-15
0.044,7.88E-15
0.045,7.80E-15
0.046,7.71E-15
0.047,7.64E-15
0.048,7.56E-15
0.049,7.49E-15
0.05,7.41E-15
0.051,7.34E-15
0.052,7.28E-15
0.053,7.21E-15
0.054,7.15E-15
0.055,7.08E-15
0.056,7.02E-15
0.057,6.96E-15
0.058,6.91E-15
0.059,6.85E-15
0.06,6.80E-15
0.061,6.74E-15
0.062,6.69E-15
0.063,6.64E-15
0.064,6.59E-15
0.065,6.54E-15
0.066,6.49E-15
0.067,6.45E-15
0.068,6.40E-15
0.069,6.36E-15
0.07,6.31E-15
0.071,6.27E-15
0.072,6.23E-15
0.073,6.19E-15
0.074,6.15E-15
0.075,6.11E-15
0.076,6.07E-15
0.077,6.03E-15
0.078,6.00E-15
0.079,5.96E-15
0.08,5.92E-15
0.081,5.89E-15
0.082,5.86E-15
0.083,5.82E-15
0.084,5.79E-15
0.085,5.76E-15
0.086,5.72E-15
0.087,5.69E-15
0.088,5.66E-15
0.089,5.63E-15
0.09,5.60E-15
0.091,5.57E-15
0.092,5.54E-15
0.093,5.51E-15
0.094,5.49E-15
0.095,5.46E-15
0.096,5.43E-15
0.097,5.40E-15
0.098,5.38E-15
0.099,5.35E-15
0.1,5.33E-15
0.101,5.30E-15
0.102,5.28E-15
0.103,5.25E-15
0.104,5.23E-15
0.105,5.20E-15
0.106,5.18E-15
0.107,5.16E-15
0.108,5.13E-15
0.109,5.11E-15
0.11,5.09E-15
0.111,5.07E-15
0.112,5.05E-15
0.113,5.02E-15
0.114,5.00E-15
0.115,4.98E-15
0.116,4.96E-15
0.117,4.94E-15
0.118,4.92E-15
0.119,4.90E-15
0.12,4.88E-15
0.121,4.86E-15
0.122,4.84E-15
0.123,4.83E-15
0.124,4.81E-15
0.125,4.79E-15
0.126,4.77E-15
0.127,4.75E-15
0.128,4.73E-15
0.129,4.72E-15
0.13,4.70E-15
0.131,4.68E-15
0.132,4.67E-15
0.133,4.65E-15
0.134,4.63E-15
0.135,4.62E-15
0.136,4.60E-15
0.137,4.58E-15
0.138,4.57E-15
0.139,4.55E-15
0.14,4.54E-15
0.141,4.52E-15
0.142,4.51E-15
0.143,4.49E-15
0.144,4.48E-15
0.145,4.46E-15
0.146,4.45E-15
0.147,4.43E-15
0.148,4.42E-15
0.149,4.40E-15
0.15,4.39E-15
0.151,4.38E-15
